name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,latitude,longitude,severity_score,year_valid,decade,century,mass_category,fall_found_flag,hemisphere_ns,hemisphere_ew,location_quality
aachen,1,valid,l5,21.0,fell,1880.0,50.775,6.08333,"50.775, 6.08333",50.775,6.08333,1,True,1880.0,19.0,small,fell,north,east,valid
aarhus,2,valid,h6,720.0,fell,1951.0,56.18333,10.23333,"56.18333, 10.23333",56.18333,10.23333,2,True,1950.0,20.0,medium,fell,north,east,valid
abee,6,valid,eh4,107000.0,fell,1952.0,54.21667,-113.0,"54.21667, -113.0",54.21667,-113.0,5,True,1950.0,20.0,massive,fell,north,west,valid
acapulco,10,valid,acapulcoite,1914.0,fell,1976.0,16.88333,-99.9,"16.88333, -99.9",16.88333,-99.9,3,True,1970.0,20.0,large,fell,north,west,valid
achiras,370,valid,l6,780.0,fell,1902.0,-33.16667,-64.95,"-33.16667, -64.95",-33.16667,-64.95,2,True,1900.0,20.0,medium,fell,south,west,valid
adhi kot,379,valid,eh4,4239.0,fell,1919.0,32.1,71.8,"32.1, 71.8",32.1,71.8,3,True,1910.0,20.0,large,fell,north,east,valid
adzhi-bogdo (stone),390,valid,ll3-6,910.0,fell,1949.0,44.83333,95.16667,"44.83333, 95.16667",44.83333,95.16667,2,True,1940.0,20.0,medium,fell,north,east,valid
agen,392,valid,h5,30000.0,fell,1814.0,44.21667,0.61667,"44.21667, 0.61667",44.21667,0.61667,4,True,1810.0,19.0,massive,fell,north,east,valid
aguada,398,valid,l6,1620.0,fell,1930.0,-31.6,-65.23333,"-31.6, -65.23333",-31.6,-65.23333,3,True,1930.0,20.0,large,fell,south,west,valid
aguila blanca,417,valid,l,1440.0,fell,1920.0,-30.86667,-64.55,"-30.86667, -64.55",-30.86667,-64.55,3,True,1920.0,20.0,large,fell,south,west,valid
aioun el atrouss,423,valid,diogenite-pm,1000.0,fell,1974.0,16.39806,-9.57028,"16.39806, -9.57028",16.39806,-9.57028,2,True,1970.0,20.0,medium,fell,north,west,valid
aïr,424,valid,l6,24000.0,fell,1925.0,19.08333,8.38333,"19.08333, 8.38333",19.08333,8.38333,4,True,1920.0,20.0,massive,fell,north,east,valid
aire-sur-la-lys,425,valid,unknown,,fell,1769.0,50.66667,2.33333,"50.66667, 2.33333",50.66667,2.33333,,True,1760.0,18.0,,fell,north,east,valid
akaba,426,valid,l6,779.0,fell,1949.0,29.51667,35.05,"29.51667, 35.05",29.51667,35.05,2,True,1940.0,20.0,medium,fell,north,east,valid
akbarpur,427,valid,h4,1800.0,fell,1838.0,29.71667,77.95,"29.71667, 77.95",29.71667,77.95,3,True,1830.0,19.0,large,fell,north,east,valid
akwanga,432,valid,h,3000.0,fell,1959.0,8.91667,8.43333,"8.91667, 8.43333",8.91667,8.43333,3,True,1950.0,20.0,large,fell,north,east,valid
akyumak,433,valid,"iron, iva",50000.0,fell,1981.0,39.91667,42.81667,"39.91667, 42.81667",39.91667,42.81667,4,True,1980.0,20.0,massive,fell,north,east,valid
al rais,446,valid,cr2-an,160.0,fell,1957.0,24.41667,39.51667,"24.41667, 39.51667",24.41667,39.51667,2,True,1950.0,20.0,medium,fell,north,east,valid
al zarnkh,447,valid,ll5,700.0,fell,2001.0,13.66033,28.96,"13.66033, 28.96",13.66033,28.96,2,True,2000.0,21.0,medium,fell,north,east,valid
alais,448,valid,ci1,6000.0,fell,1806.0,44.11667,4.08333,"44.11667, 4.08333",44.11667,4.08333,3,True,1800.0,19.0,large,fell,north,east,valid
albareto,453,valid,l/ll4,2000.0,fell,1766.0,44.65,11.01667,"44.65, 11.01667",44.65,11.01667,3,True,1760.0,18.0,large,fell,north,east,valid
alberta,454,valid,l,625.0,fell,1949.0,2.0,22.66667,"2.0, 22.66667",2.0,22.66667,2,True,1940.0,20.0,medium,fell,north,east,valid
