recclass,nametype,fall,fall_found_flag,classification_key
l5,valid,fell,fell,1
h6,valid,fell,fell,2
eh4,valid,fell,fell,3
acapulcoite,valid,fell,fell,4
l6,valid,fell,fell,5
ll3-6,valid,fell,fell,6
h5,valid,fell,fell,7
l,valid,fell,fell,8
diogenite-pm,valid,fell,fell,9
unknown,valid,fell,fell,10
h4,valid,fell,fell,11
h,valid,fell,fell,12
"iron, iva",valid,fell,fell,13
cr2-an,valid,fell,fell,14
ll5,valid,fell,fell,15
ci1,valid,fell,fell,16
l/ll4,valid,fell,fell,17
eucrite-mmict,valid,fell,fell,18
cv3,valid,fell,fell,19
ureilite-an,valid,fell,fell,20
stone-uncl,valid,fell,fell,21
l3,valid,fell,fell,22
l5,valid,found,found,23
angrite,valid,fell,fell,24
ll6,valid,fell,fell,25
l4,valid,fell,fell,26
aubrite,valid,fell,fell,27
"iron, iiab",valid,fell,fell,28
"iron, iab-sll",valid,fell,fell,29
"iron, ungrouped",valid,fell,fell,30
cm2,valid,fell,fell,31
oc,valid,fell,fell,32
mesosiderite-a1,valid,fell,fell,33
ll4,valid,fell,fell,34
c2-ung,valid,fell,fell,35
ll3.8,valid,fell,fell,36
howardite,valid,fell,fell,37
eucrite-pmict,valid,fell,fell,38
diogenite,valid,fell,fell,39
ll3.15,valid,fell,fell,40
ll3.9,valid,fell,fell,41
"iron, iab-mg",valid,fell,fell,42
h/l3.9,valid,fell,fell,43
iron?,valid,fell,fell,44
eucrite,valid,fell,fell,45
h4-an,valid,fell,fell,46
l/ll6,valid,fell,fell,47
"iron, iiiab",valid,fell,fell,48
h/l4,valid,fell,fell,49
h4-5,valid,fell,fell,50
l3.7,valid,fell,fell,51
ll3.4,valid,fell,fell,52
martian (chassignite),valid,fell,fell,53
el6,valid,fell,fell,54
h3.8,valid,fell,fell,55
h3-5,valid,fell,fell,56
h5-6,valid,fell,fell,57
mesosiderite,valid,fell,fell,58
h5-7,valid,fell,fell,59
l3-6,valid,fell,fell,60
h4-6,valid,fell,fell,61
ureilite,valid,fell,fell,62
"iron, iid",valid,fell,fell,63
mesosiderite-a3/4,valid,fell,fell,64
co3.3,valid,fell,fell,65
h3,valid,fell,fell,66
eh3/4-an,valid,fell,fell,67
"iron, iie",valid,fell,fell,68
l/ll5,valid,fell,fell,69
h3.7,valid,fell,fell,70
cba,valid,fell,fell,71
h4/5,valid,fell,fell,72
h3/4,valid,fell,fell,73
h?,valid,fell,fell,74
h3-6,valid,fell,fell,75
l3.4,valid,fell,fell,76
"iron, iab-shl",valid,fell,fell,77
l3.7-6,valid,fell,fell,78
eh7-an,valid,fell,fell,79
iron,valid,fell,fell,80
cr2,valid,fell,fell,81
co3.2,valid,fell,fell,82
k3,valid,fell,fell,83
l5/6,valid,fell,fell,84
ck4,valid,fell,fell,85
"iron, iie-an",valid,fell,fell,86
l3.6,valid,fell,fell,87
ll3.2,valid,fell,fell,88
pallasite,valid,found,found,89
co3.5,valid,fell,fell,90
lodranite,valid,fell,fell,91
mesosiderite-a3,valid,fell,fell,92
l3-4,valid,fell,fell,93
h5/6,valid,fell,fell,94
"pallasite, pmg",valid,fell,fell,95
eucrite-cm,valid,fell,fell,96
pallasite,valid,fell,fell,97
l5-6,valid,fell,fell,98
co3.6,valid,fell,fell,99
martian (nakhlite),valid,fell,fell,100
ll3.6,valid,fell,fell,101
c3-ung,valid,fell,fell,102
h3-4,valid,fell,fell,103
co3.4,valid,fell,fell,104
l6,valid,found,found,105
eh3,valid,fell,fell,106
"iron, iab-ung",valid,fell,fell,107
ll5,valid,found,found,108
winonaite,valid,fell,fell,109
ll,valid,fell,fell,110
eucrite-br,valid,fell,fell,111
"iron, iif",valid,fell,fell,112
r3.8-6,valid,fell,fell,113
l4-6,valid,fell,fell,114
eh5,valid,fell,fell,115
ll3.00,valid,fell,fell,116
h3.4,valid,fell,fell,117
martian (shergottite),valid,fell,fell,118
achondrite-ung,valid,fell,fell,119
ll3.3,valid,fell,fell,120
c,valid,fell,fell,121
h/l3.6,valid,fell,fell,122
"iron, iiiab-an",valid,fell,fell,123
ll7,valid,fell,fell,124
mesosiderite-b2,valid,fell,fell,125
ll4-6,valid,fell,fell,126
co3.7,valid,fell,fell,127
l/ll6-an,valid,fell,fell,128
"iron, iab complex",valid,fell,fell,129
"pallasite, pmg-an",valid,fell,fell,130
h5,valid,found,found,131
h3.8,valid,found,found,132
h3-6,valid,found,found,133
h,valid,found,found,134
h4,valid,found,found,135
h3.9/4,valid,found,found,136
h6,valid,found,found,137
h4-5,valid,found,found,138
h3.7,valid,found,found,139
h5/6,valid,found,found,140
ll6,valid,found,found,141
l5/6,valid,found,found,142
ll4-6,valid,found,found,143
l3.8,valid,found,found,144
l5-6,valid,found,found,145
l/ll6,valid,found,found,146
l4,valid,found,found,147
ll5-6,valid,found,found,148
cr2,valid,found,found,149
mesosiderite,valid,found,found,150
ll3.8-6,valid,found,found,151
h4/5,valid,found,found,152
l3.9,valid,found,found,153
cv3,valid,found,found,154
c2-ung,valid,found,found,155
l4-5,valid,found,found,156
l3-5,valid,found,found,157
ll4/5,valid,found,found,158
l4/5,valid,found,found,159
h3.9,valid,found,found,160
h3.6-6,valid,found,found,161
h3.8-5,valid,found,found,162
h5-6,valid,found,found,163
h3-5,valid,found,found,164
h3.8/4,valid,found,found,165
h3.9-5,valid,found,found,166
ch3,valid,found,found,167
co3.5,valid,found,found,168
h3,valid,found,found,169
r3.8-5,valid,found,found,170
"iron, iab-ung",valid,found,found,171
l3.9/4,valid,found,found,172
ureilite,valid,found,found,173
e4,valid,found,found,174
ll4,valid,found,found,175
cm2,valid,found,found,176
co3,valid,found,found,177
l3,valid,found,found,178
eucrite-cm,valid,found,found,179
el6,valid,found,found,180
chondrite-ung,valid,found,found,181
h4-6,valid,found,found,182
h~5,valid,found,found,183
h~6,valid,found,found,184
"pallasite, pmg",valid,found,found,185
"iron, iiiab",valid,found,found,186
eucrite-mmict,valid,found,found,187
ll3.2,valid,found,found,188
l/ll3.10,valid,found,found,189
el5,valid,found,found,190
ll3,valid,found,found,191
"iron, iab complex",valid,found,found,192
"iron, iiab",valid,found,found,193
eucrite,valid,found,found,194
oc,valid,found,found,195
aubrite,valid,found,found,196
l~6,valid,found,found,197
l~3,valid,found,found,198
h~4,valid,found,found,199
l4-6,valid,found,found,200
l(ll)3.5-3.7,valid,found,found,201
achondrite-ung,valid,found,found,202
l,valid,found,found,203
"iron, iva",valid,found,found,204
"iron, iab-shl",valid,found,found,205
"iron, ungrouped",valid,found,found,206
"iron, iiie-an",valid,found,found,207
howardite,valid,found,found,208
l3.4,valid,found,found,209
co3.4,valid,found,found,210
h3.6,valid,found,found,211
eh4,valid,found,found,212
ck4,valid,found,found,213
ll3.4,valid,found,found,214
l3.4-3.7,valid,found,found,215
ll3.3,valid,found,found,216
l3.5,valid,found,found,217
cm1/2,valid,found,found,218
martian (opx),valid,found,found,219
brachinite,valid,found,found,220
ll7(?),valid,found,found,221
ll6(?),valid,found,found,222
eh3,valid,found,found,223
acapulcoite,valid,found,found,224
eucrite-mg rich,valid,found,found,225
diogenite,valid,found,found,226
h3.5-4,valid,found,found,227
l3.6,valid,found,found,228
el3,valid,found,found,229
r3.6,valid,found,found,230
l3.7,valid,found,found,231
h3.5,valid,found,found,232
h3.4,valid,found,found,233
cm1,valid,found,found,234
l/ll3,valid,found,found,235
h7,valid,found,found,236
l/ll4,valid,found,found,237
"iron, iab-mg",valid,found,found,238
eucrite-pmict,valid,found,found,239
co3.6,valid,found,found,240
martian (shergottite),valid,found,found,241
l(?)3,valid,found,found,242
l3.2,valid,found,found,243
l3.7-3.9,valid,found,found,244
mesosiderite-b1,valid,found,found,245
l3-6,valid,found,found,246
eucrite-unbr,valid,found,found,247
ll3.7,valid,found,found,248
co3.0,valid,found,found,249
ll3.5,valid,found,found,250
l3.7-4,valid,found,found,251
cv3-an,valid,found,found,252
lunar (anorth),valid,found,found,253
l3.3,valid,found,found,254
"iron, iid",valid,found,found,255
iron,valid,found,found,256
"iron, iab-sll",valid,found,found,257
"iron, iab-slm",valid,found,found,258
lunar,valid,found,found,259
l/ll5,valid,found,found,260
"pallasite, pmg-an",valid,found,found,261
"iron, ic",valid,found,found,262
"iron, iie-an",valid,found,found,263
"iron, iid-an",valid,found,found,264
"iron, iiie",valid,found,found,265
"iron, iva-an",valid,found,found,266
stone-uncl,valid,found,found,267
ck6,valid,found,found,268
ll3.8,valid,found,found,269
ll3.6,valid,found,found,270
l3.1,valid,found,found,271
co3.3,valid,found,found,272
ck5,valid,found,found,273
h3.3,valid,found,found,274
ll7,valid,found,found,275
h3.7-6,valid,found,found,276
ll,valid,found,found,277
e6,valid,found,found,278
h3.0,valid,found,found,279
eucrite-br,valid,found,found,280
h3.1,valid,found,found,281
ll3.9,valid,found,found,282
l3.0,valid,found,found,283
l/ll3.4,valid,found,found,284
angrite,valid,found,found,285
eh5,valid,found,found,286
c6,valid,found,found,287
ll3.0,valid,found,found,288
lunar (gabbro),valid,found,found,289
r4,valid,found,found,290
c4,valid,found,found,291
"iron, iig",valid,found,found,292
