latitude,longitude,hemisphere_ns,hemisphere_ew,location_quality,location_key
50.775,6.08333,north,east,valid,1
56.18333,10.23333,north,east,valid,2
54.21667,-113.0,north,west,valid,3
16.88333,-99.9,north,west,valid,4
-33.16667,-64.95,south,west,valid,5
32.1,71.8,north,east,valid,6
44.83333,95.16667,north,east,valid,7
44.21667,0.61667,north,east,valid,8
-31.6,-65.23333,south,west,valid,9
-30.86667,-64.55,south,west,valid,10
16.39806,-9.57028,north,west,valid,11
19.08333,8.38333,north,east,valid,12
50.66667,2.33333,north,east,valid,13
29.51667,35.05,north,east,valid,14
29.71667,77.95,north,east,valid,15
8.91667,8.43333,north,east,valid,16
39.91667,42.81667,north,east,valid,17
24.41667,39.51667,north,east,valid,18
13.66033,28.96,north,east,valid,19
44.11667,4.08333,north,east,valid,20
44.65,11.01667,north,east,valid,21
2.0,22.66667,north,east,valid,22
45.82133,6.01533,north,east,valid,23
51.78333,-1.78333,north,west,valid,24
36.23333,37.13333,north,east,valid,25
44.88333,8.75,north,east,valid,26
50.95,31.81667,north,east,valid,27
45.26667,10.15,north,east,valid,28
42.53333,-85.88333,north,west,valid,29
26.96667,-105.31667,north,west,valid,30
20.74575,32.41275,north,east,valid,31
35.27333,44.21556,north,east,valid,32
27.66667,78.25,north,east,valid,33
26.58333,85.56667,north,east,valid,34
44.61667,-70.75,north,west,valid,35
48.7,37.5,north,east,valid,36
20.88333,76.86667,north,east,valid,37
0.0,0.0,north,east,valid,38
47.46667,-0.55,north,west,valid,39
-22.96667,-44.31667,south,west,valid,40
9.53333,39.71667,north,east,valid,41
25.15,105.18333,north,east,valid,42
40.81056,140.78556,north,east,valid,43
53.58333,-2.71667,north,west,valid,44
43.86667,5.38333,north,east,valid,45
-33.0,-66.0,south,west,valid,46
38.5,-94.3,north,west,valid,47
-31.41667,-60.66667,south,west,valid,48
42.45,9.03333,north,east,valid,49
31.805,-97.01,north,west,valid,50
52.05,0.3,north,east,valid,51
43.03333,12.55,north,east,valid,52
25.25417,80.625,north,east,valid,53
20.06667,-103.66667,north,west,valid,54
34.75,-87.0,north,west,valid,55
34.31667,-96.15,north,west,valid,56
44.38333,5.16667,north,east,valid,57
36.16667,3.66667,north,east,valid,58
44.33333,3.23333,north,east,valid,59
43.08333,0.58333,north,east,valid,60
-21.46028,-49.95083,south,west,valid,61
46.0,13.5,north,east,valid,62
25.0,-103.5,north,west,valid,63
2.71667,32.83333,north,east,valid,64
36.8,-108.0,north,west,valid,65
48.6,38.0,north,east,valid,66
28.48333,78.5,north,east,valid,67
35.96667,-82.48333,north,west,valid,68
34.5,-88.66667,north,west,valid,69
5.38333,16.38333,north,east,valid,70
16.66667,101.18333,north,east,valid,71
-6.91667,107.6,south,east,valid,72
27.7,76.33333,north,east,valid,73
30.4,78.2,north,east,valid,74
-6.33333,106.0,south,east,valid,75
43.95,-0.05,north,west,valid,76
41.36667,2.16667,north,east,valid,77
42.38333,-2.5,north,west,valid,78
52.73333,84.08333,north,east,valid,79
52.0,9.1,north,east,valid,80
31.61667,76.8,north,east,valid,81
52.56528,-1.33972,north,west,valid,82
15.78333,-5.9,north,west,valid,83
52.03333,20.93583,north,east,valid,84
45.41667,-98.31667,north,west,valid,85
