meteorite_id,name,mass_g,severity_score
1,aachen,21.0,1.0
2,aarhus,720.0,2.0
6,abee,107000.0,5.0
10,acapulco,1914.0,3.0
370,achiras,780.0,2.0
379,adhi kot,4239.0,3.0
390,adzhi-bogdo (stone),910.0,2.0
392,agen,30000.0,4.0
398,aguada,1620.0,3.0
417,aguila blanca,1440.0,3.0
423,aioun el atrouss,1000.0,2.0
424,aïr,24000.0,4.0
425,aire-sur-la-lys,,
426,akaba,779.0,2.0
427,akbarpur,1800.0,3.0
432,akwanga,3000.0,3.0
433,akyumak,50000.0,4.0
446,al rais,160.0,2.0
447,al zarnkh,700.0,2.0
448,alais,6000.0,3.0
453,albareto,2000.0,3.0
454,alberta,625.0,2.0
458,alby sur chéran,252.0,2.0
461,aldsworth,700.0,2.0
462,aleppo,3200.0,3.0
463,alessandria,908.0,2.0
465,alexandrovsky,9251.0,3.0
466,alfianello,228000.0,5.0
2276,allegan,32000.0,4.0
2278,allende,2000000.0,5.0
48915,almahata sitta,3950.0,3.0
2284,alta'ameem,6000.0,3.0
2290,ambapur nagla,6400.0,3.0
2294,andhara,2700.0,3.0
2295,andover,3200.0,3.0
2296,andreevka,600.0,2.0
2298,andura,17900.0,4.0
50693,northwest africa 5815,256.8,2.0
2301,angers,,
2302,angra dos reis (stone),1500.0,3.0
2304,ankober,6500.0,3.0
2305,anlong,2500.0,3.0
2313,aomori,320.0,2.0
2318,appley bridge,15000.0,4.0
2320,apt,3200.0,3.0
2325,arbol solo,810.0,2.0
2329,archie,5070.0,3.0
2340,arroyo aguiar,7450.0,3.0
2345,asco,41.0,1.0
48954,ash creek,9500.0,3.0
2346,ashdon,1300.0,3.0
2353,assisi,2000.0,3.0
4883,atarra,1280.0,3.0
4884,atemajac,94.2,1.0
4885,athens,265.0,2.0
4888,atoka,1384.2,3.0
4893,aubres,800.0,2.0
4899,aumale,50000.0,4.0
4900,aumieres,2000.0,3.0
4903,ausson,50000.0,4.0
4905,avanhandava,9330.0,3.0
4906,avce,1230.0,3.0
4907,avilez,146.0,2.0
4910,awere,134.0,2.0
4913,aztec,2830.0,3.0
4917,bachmut,18000.0,4.0
4922,bahjoi,10322.0,4.0
4925,bald mountain,3700.0,3.0
4926,baldwyn,345.0,2.0
4928,bali,1000.0,2.0
4934,ban rong du,16700.0,4.0
4935,bandong,11500.0,4.0
4936,bansur,15000.0,4.0
4937,banswal,14.0,1.0
4938,banten,629.0,2.0
4942,barbotan,6400.0,3.0
4944,barcelona (stone),,
4946,barea,3200.0,3.0
4947,barnaul,23.2,1.0
4948,barntrup,17.0,1.0
4949,baroti,4500.0,3.0
4954,barwell,44000.0,4.0
44876,bassikounou,29560.0,4.0
4957,baszkówka,15500.0,4.0
4974,bath,21000.0,4.0
4975,bath furnace,86000.0,4.0
56133,battle mountain,2900.0,3.0
4976,bawku,1557.0,3.0
4977,baxter,611.0,2.0
4984,beardsley,16000.0,4.0
4986,beaver creek,14000.0,4.0
4993,beddgelert,794.0,2.0
5005,bells,375.0,2.0
5009,belville,,
5011,benares (a),3700.0,3.0
30443,benguerir,25000.0,4.0
5018,beni m'hira,19000.0,4.0
5021,benld,1770.5,3.0
5023,benoni,3880.0,3.0
5024,bensour,45000.0,4.0
5026,benton,2840.0,3.0
48975,berduc,270.0,2.0
5028,béréba,18000.0,4.0
5029,berlanguillas,1440.0,3.0
47355,berthoud,960.0,2.0
5032,bethlehem,13.9,1.0
5034,beuste,2000.0,3.0
5035,beyrout,1100.0,3.0
5037,bhagur,18.0,1.0
36591,bhawad,678.0,2.0
5039,bherai,100.0,1.0
