meteorite_id,location_key,time_key,classification_key,mass_g,severity_score,mass_category,fall_found_flag,location_quality
1,1,1,1,21.0,1.0,small,fell,valid
2,2,2,2,720.0,2.0,medium,fell,valid
6,3,3,3,107000.0,5.0,massive,fell,valid
10,4,4,4,1914.0,3.0,large,fell,valid
370,5,5,5,780.0,2.0,medium,fell,valid
379,6,6,3,4239.0,3.0,large,fell,valid
390,7,7,6,910.0,2.0,medium,fell,valid
392,8,8,7,30000.0,4.0,massive,fell,valid
398,9,9,5,1620.0,3.0,large,fell,valid
417,10,10,8,1440.0,3.0,large,fell,valid
423,11,11,9,1000.0,2.0,medium,fell,valid
424,12,12,5,24000.0,4.0,massive,fell,valid
425,13,13,10,,,,fell,valid
426,14,7,5,779.0,2.0,medium,fell,valid
427,15,14,11,1800.0,3.0,large,fell,valid
432,16,15,12,3000.0,3.0,large,fell,valid
433,17,16,13,50000.0,4.0,massive,fell,valid
446,18,17,14,160.0,2.0,medium,fell,valid
447,19,18,15,700.0,2.0,medium,fell,valid
448,20,19,16,6000.0,3.0,large,fell,valid
453,21,20,17,2000.0,3.0,large,fell,valid
454,22,7,8,625.0,2.0,medium,fell,valid
458,23,21,18,252.0,2.0,medium,fell,valid
461,24,22,15,700.0,2.0,medium,fell,valid
462,25,23,5,3200.0,3.0,large,fell,valid
463,26,24,7,908.0,2.0,medium,fell,valid
465,27,25,11,9251.0,3.0,large,fell,valid
466,28,26,5,228000.0,5.0,massive,fell,valid
2276,29,27,7,32000.0,4.0,massive,fell,valid
2278,30,28,19,2000000.0,5.0,massive,fell,valid
48915,31,29,20,3950.0,3.0,large,fell,valid
2284,32,30,15,6000.0,3.0,large,fell,valid
2290,33,31,7,6400.0,3.0,large,fell,valid
2294,34,1,21,2700.0,3.0,large,fell,valid
2295,35,32,5,3200.0,3.0,large,fell,valid
2296,36,28,22,600.0,2.0,medium,fell,valid
2298,37,33,2,17900.0,4.0,massive,fell,valid
50693,38,34,23,256.8,2.0,medium,found,valid
2301,39,35,5,,,,fell,valid
2302,40,36,24,1500.0,3.0,large,fell,valid
2304,41,37,11,6500.0,3.0,large,fell,valid
2305,42,38,7,2500.0,3.0,large,fell,valid
2313,43,39,5,320.0,2.0,medium,fell,valid
2318,44,40,25,15000.0,4.0,massive,fell,valid
2320,45,41,5,3200.0,3.0,large,fell,valid
2325,46,42,7,810.0,2.0,medium,fell,valid
2329,47,43,2,5070.0,3.0,large,fell,valid
2340,48,44,7,7450.0,3.0,large,fell,valid
2345,49,45,2,41.0,1.0,small,fell,valid
48954,50,46,5,9500.0,3.0,large,fell,valid
